【超清】,#genre#
CCTV1综合,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv1hd/2500/index.m3u8?&encrypt=
CCTV1综合,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cctv1hd265/57/20191230/index.m3u8?&encrypt=
CCTV2财经,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv2hd/3000/index.m3u8?&encrypt=
CCTV2财经,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cctv2hd265/55/20200407/index.m3u8?&encrypt=
CCTV3综艺,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?&encrypt=
CCTV3综艺,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/ocn/cctv3hd/3000/index.m3u8?&encrypt=
CCTV4中文国际,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv4hd/3000/index.m3u8?&encrypt=
CCTV4中文国际,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cctv4hd265/57/20191230/index.m3u8?&encrypt=
CCTV4中文国际-欧洲,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv4ouhd/57/index.m3u8?&encrypt=
CCTV4中文国际-美洲,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv4meihd/57/index.m3u8?&encrypt=
CCTV5体育,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/2500/index.m3u8?&encrypt=
CCTV5体育,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cctv5hd265/57/20191230/index.m3u8?&encrypt=
CCTV5+体育赛事,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/2500/index.m3u8?&encrypt=
CCTV6电影,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cctv6hd265/55/20200407/index.m3u8?&encrypt=
CCTV6电影,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/ocn/cctv6hd/3000/index.m3u8?&encrypt=
CCTV7国防军事,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/57/index.m3u8?&encrypt=
CCTV8电视剧,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cctv8hd265/55/20200407/index.m3u8?&encrypt=
CCTV8电视剧,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/ocn/cctv8hd/3000/index.m3u8?&encrypt=
CCTV9纪录,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv9hd/57/index.m3u8?&encrypt=
CCTV11戏曲,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cctv11hd/57/20200103/index.m3u8?&encrypt=
CCTV11戏曲,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cctv11hd265/55/20200407/index.m3u8?&encrypt=
CCTV12社会与法,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv12hd/57/index.m3u8?&encrypt=
CCTV14少儿,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cctv14hd265/55/20200407/index.m3u8?&encrypt=
CCTV14少儿,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/ocn/cctv14hd/3000/index.m3u8?&encrypt=
CCTV15音乐,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv15hd/57/index.m3u8?&encrypt=
CCTV17农村农业,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv17hd/57/index.m3u8?&encrypt=
CETV1中教1台,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/cctv/cetv1hd/3000/index.m3u8?&encrypt=
东方卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r4/dfl/dongfangwshd/3000/index.m3u8?&encrypt=
江苏卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/jiangsuhd/2500/index.m3u8?&encrypt=
浙江卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/zhejianghd/2500/index.m3u8?&encrypt=
湖南卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd-hunanhd-2500/index.m3u8?&encrypt=
湖南卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/hunanhd265/57/20191230/index.m3u8?&encrypt=
江西卫视,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/jxwshd/57/20190820/index.m3u8?&encrypt=
北京卫视冬奥纪实,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r3/btv/btv6/3000/index.m3u8?&encrypt=
上视新闻综合,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r4/dfl/xinwenzonghehd/3000/index.m3u8?&encrypt=
上视东方影视,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r4/dfl/dianshijuhd/3000/index.m3u8?&encrypt=
上视东方都市,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r4/dfl/yulehd/3000/index.m3u8?&encrypt=
上视全纪实,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/ocn/quanjishihd/3000/index.m3u8?&encrypt=
CIBN风尚运动,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cibnfsyd/57/20191029/index.m3u8?&encrypt=
CIBN斗牛财经,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/cibndncj/57/20191029/index.m3u8?&encrypt=
咪咕24小时体育台,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/virtuallive/tysy201903/150/index.m3u8?&encrypt=
直播印象南塘,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200311/sakura02/57/index.m3u8?&encrypt=
直播荆门樱花部落,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200311/sakura09/57/index.m3u8?&encrypt=
直播三桥风景,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200311/sakura01/57/index.m3u8?&encrypt=
直播间,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200311/sakura08/57/index.m3u8?&encrypt=

【高清】,#genre#
CCTV1综合,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?&encrypt=
CCTV2财经,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv2hd/1500/index.m3u8?&encrypt=
CCTV3综艺,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?&encrypt=
CCTV4中文国际,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?&encrypt=
CCTV4中文国际-欧洲,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?&encrypt=
CCTV4中文国际-美洲,http://103.254.188.179/live.gq.miguvideo.com:8080/migu/kailu/20200324/cctv4meihd/51/index.m3u8?&encrypt=
CCTV5体育,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?&encrypt=
CCTV5+体育赛事,http://103.254.188.179/live.gq.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?&encrypt=
